,MPT,RiskParity,Factor,ML_XGB
2018-09-30,1.0023336111594043,0.9893411018976996,0.9937846833178177,0.999004413898078
2018-10-31,0.9259684458872951,0.9376970153508543,0.9301865581197208,0.917771278667186
2018-11-30,0.9505492017975535,0.9029764869133585,0.9095227910777802,0.8743744522183882
2018-12-31,0.9211243030253989,0.8685320392812881,0.8616574241071746,0.8116048340382169
2019-01-31,0.9352096552272253,0.9091860833223046,0.9053799155152288,0.8353268415674594
2019-02-28,0.9363754094787892,0.9361876025106315,0.9239693546636938,0.8520910810312076
2019-03-31,0.9367819196877213,0.9512430268170546,0.9423085357857262,0.8731188623124091
2019-04-30,0.9295724867514538,0.9824564611794183,0.961510968171524,0.8868989888663504
2019-05-31,0.9400205520628135,0.9858400005751617,0.93606038426975,0.8511876409240638
2019-06-30,1.0467756965093133,1.0490370851735282,0.9981180973080201,0.9589897427916884
2019-07-31,1.0096630867079528,1.0328548620516376,0.9893986646730019,0.9176912338452239
2019-08-31,1.0363606633194034,1.0202288399281638,1.001070067518855,0.9422113134922246
2019-09-30,0.9919188838838888,1.0212730816757025,0.9876047980823849,0.8881846882385815
2019-10-31,1.0024320639792328,1.040904096615961,1.0101868428768366,0.9183407626480737
2019-11-30,0.9849617812335728,1.0372790167779462,1.004359838860724,0.8769695592978267
2019-12-31,1.0043524063182294,1.0534982867037868,1.0056451519953715,0.8400585859272812
2020-01-31,1.0172311446949853,1.0637874653137482,1.018758465486428,0.9024540200865195
2020-02-29,0.9802783822799442,1.0087428463302675,0.9798620862805983,0.8930700676497223
2020-03-31,0.9405561214988009,0.859433927203246,0.8656270692789867,0.734373481722394
2020-04-30,0.965207100470087,0.9195083160331046,0.9366029459983081,0.7978444677979075
2020-05-31,0.9704607222568487,0.958071032536031,0.9627638380171863,0.8105042721147151
2020-06-30,0.9905036385699963,0.9766519812812883,0.9795712332140292,0.8366628366056093
2020-07-31,1.0458420000086814,1.0544399010678742,1.055965251600531,0.9103254897393211
2020-08-31,1.0674915237280027,1.1027057421351467,1.1267193694221163,1.0444955283149489
2020-09-30,1.0151227208203275,1.0601771029847928,1.0820848334459914,0.9652701706415656
2020-10-31,1.0005246376702877,1.0551732851756792,1.087307960999785,0.9803641620330046
2020-11-30,1.0099296769979886,1.1677729048054761,1.2074171015889117,1.2125884534697091
2020-12-31,1.0645287285429166,1.2412052889746932,1.3271278196717606,1.5243096751906924
2021-01-31,1.099261925577134,1.280947400985253,1.402617014325378,1.8426287547346656
2021-02-28,1.148764998511643,1.3224905529284907,1.4429124531821542,1.9866130502523678
2021-03-31,1.201607673604285,1.362529074882226,1.5206126393543247,2.2557074408794806
2021-04-30,1.2591121938088323,1.4293087525954724,1.6240345922812567,2.5541509143156356
2021-05-31,1.2245197001438155,1.425759570116523,1.6004935982556168,2.3854709919404162
2021-06-30,1.2352859760935624,1.4368487851111333,1.6090494986254065,2.3666659673169614
2021-07-31,1.2665489466390578,1.4657120641949282,1.6494659548905797,2.520247351589003
2021-08-31,1.2829678195679577,1.4973997419862577,1.7155121187216078,2.7956944947919764
2021-09-30,1.2241478218540294,1.4595590965715224,1.6773599013472251,2.7350303723773677
2021-10-31,1.293593985845549,1.5628121107392159,1.8573604912897752,3.438828228561962
2021-11-30,1.250225807291004,1.5301047721251226,1.8006859592256725,3.2801035035016257
2021-12-31,1.2382474265016827,1.537465793164686,1.7888944348891287,3.044424915013664
2022-01-31,1.1773611543615279,1.4767493191506595,1.7078175043712938,2.8516950752042938
2022-02-28,1.210923895361966,1.50445882960958,1.7435041372344646,3.029693141462818
2022-03-31,1.2883039143779684,1.5517889967436789,1.8279704779196484,3.3562097788030507
2022-04-30,1.270642175047535,1.4448129746524345,1.7158365974446073,3.227114568914634
2022-05-31,1.3058729517153893,1.421615565533441,1.7341377216926346,3.4075053090504177
2022-06-30,1.2011910767717349,1.2752776372602508,1.5833673107198225,3.09651738284445
2022-07-31,1.1829815932563708,1.3553212880370882,1.6341265378930137,3.099518150324069
2022-08-31,1.1581661829585685,1.294229573841622,1.5768894163235605,3.031829963788698
2022-09-30,1.0984257806722726,1.1936773358551391,1.4517685456569056,2.7589101339558133
2022-10-31,1.1160484490116171,1.2442307075576355,1.5230510775713297,3.013767494045962
2022-11-30,1.143376945258621,1.282629633266869,1.5773861266039517,3.0538640803256705
2022-12-31,1.1357870696990937,1.2708853364764856,1.5756136335985647,3.065642876575273
2023-01-31,1.144202218756654,1.3602945803362438,1.6305697598496045,3.09214672275234
2023-02-28,1.1115388928849554,1.3310089528062161,1.5861048464876633,2.980783853044806
2023-03-31,1.150596449071067,1.377666666599086,1.6122033849527064,2.983066406718889
2023-04-30,1.1692544205972544,1.4071753094739947,1.6434782194550412,3.0459526701859208
2023-05-31,1.1537037775309287,1.371855561868831,1.6106232779565952,2.9825735313739736
2023-06-30,1.1715274044685569,1.4177329695181045,1.6707413518527292,3.1144496186136794
2023-07-31,1.1913092530874352,1.4687005808117846,1.7280762473127673,3.173112451737729
2023-08-31,1.1900129117870453,1.4376093585863572,1.6858486261605348,3.0571787198752705
2023-09-30,1.156918804856758,1.3912545405820798,1.6257802508259398,2.913927474022879
2023-10-31,1.1332234411692317,1.3806133557112708,1.6317142950975096,3.062443146488907
2023-11-30,1.163332053168471,1.4689768578178257,1.7431822452768095,3.3662929500233103
2023-12-31,1.2027932376561383,1.5261551150521326,1.8142070302000508,3.6179297247196267
2024-01-31,1.2108856508848074,1.5203317464845223,1.806018912644312,3.6280070489461993
2024-02-29,1.2872227510151744,1.5788605586504794,1.9258331527631718,4.3264599926341365
2024-03-31,1.3574403944936113,1.6400265615683756,2.0072003754409162,4.543600815858941
2024-04-30,1.2817574211459641,1.5840818478914573,1.910089710326061,4.1432052324660145
2024-05-31,1.3132301498297054,1.6178195178627015,1.9614459566466669,4.384678576904765
2024-06-30,1.29648400310072,1.6262236938552115,1.9543043159601334,4.181981264365874
2024-07-31,1.280232367540494,1.6603018478401907,1.9862044262508485,4.21561744549747
2024-08-31,1.295563347951976,1.6747430457256394,1.9844715290304307,3.961495093715175
2024-09-30,1.3207728924471949,1.7069221855650272,2.0376964725593223,4.104159355309719
2024-10-31,1.3092950437441793,1.6864678328318925,2.0176320406415695,4.141379391110079
2024-11-30,1.3375557089106804,1.7501628057442833,2.1273652817482427,4.48863724031203
2024-12-31,1.2887749593941693,1.6927754530967063,2.046009860177425,4.291892872764485
2025-01-31,1.35260739888971,1.7406223610274807,2.1123883608450194,4.4842104057719
2025-02-28,1.3084284981889662,1.7035941674185722,2.025127021110383,4.17753116756375
2025-03-31,1.3181834296088335,1.6810551318965963,2.01049829190477,4.23111819422355
2025-04-30,1.3517405088935865,1.6634996077071755,2.022614411722854,4.315892104157663
2025-05-31,1.3579334446596838,1.7211777956345513,2.0828608875356562,4.498386430017781
2025-06-30,1.3722207033087945,1.774892309323906,2.143766141653211,4.6032604731810824
2025-07-31,1.3681315346456155,1.8269812749119936,2.1786748191332417,4.727829846195461
2025-08-31,1.3937229836455334,1.8436940201412135,2.218826371973322,4.92262770243581
